종목코드,종목명,ISIN코드,기업명
A002600,조흥,KR7002600005,(주)조흥
A002620,제일파마홀딩스,KR7002620003,제일파마홀딩스(주)
A002630,오리엔트바이오,KR7002630002,(주)오리엔트바이오
A002680,한탑,KR7002680007,(주)한탑
A002690,동일제강,KR7002690006,동일제강(주)
A002700,신일전자,KR7002700003,신일전자(주)
A002710,TCC스틸,KR7002710002,(주)TCC스틸
A002720,국제약품,KR7002720001,국제약품(주)
A002760,보락,KR7002760007,(주)보락
A002780,진흥기업,KR7002780005,진흥기업(주)
A002790,아모레G,KR7002790004,(주)아모레퍼시픽그룹
A002800,신신제약,KR7002800001,신신제약(주)
A002810,삼영무역,KR7002810000,삼영무역(주)
A002820,SUN&L,KR7002820009,(주)선앤엘
A002840,미원상사,KR7002840007,미원상사(주)
A002870,신풍,KR7002870004,(주)신풍
A002880,대유에이텍,KR7002880003,(주)대유에이텍
A002900,TYM,KR7002900009,주식회사 티와이엠
A002920,유성기업,KR7002920007,유성기업(주)
A002960,한국쉘석유,KR7002960003,한국쉘석유(주)
A002990,금호건설,KR7002990000,금호건설(주)
A003000,부광약품,KR7003000007,부광약품(주)
A003010,혜인,KR7003010006,(주)혜인
A003030,세아제강지주,KR7003030004,(주)세아제강지주
A003060,에이프로젠바이오로직스,KR7003060001,(주)에이프로젠바이오로직스
A003070,코오롱글로벌,KR7003070000,코오롱글로벌(주)
A003080,성보화학,KR7003080009,성보화학(주)
A003090,대웅,KR7003090008,(주)대웅
A003100,선광,KR7003100005,(주)선광
A003120,일성아이에스,KR7003120003,일성아이에스(주)
A003160,디아이,KR7003160009,(주)디아이
A003200,일신방직,KR7003200003,일신방직(주)
A003220,대원제약,KR7003220001,대원제약(주)
A003230,삼양식품,KR7003230000,삼양식품(주)
A003240,태광산업,KR7003240009,태광산업(주)
A003280,흥아해운,KR7003280005,흥아해운(주)
A003300,한일홀딩스,KR7003300001,한일홀딩스(주)
A003310,대주산업,KR7003310000,대주산업(주)
A003350,한국화장품제조,KR7003350006,(주)한국화장품제조
A003380,하림지주,KR7003380003,(주)하림지주
A003460,유화증권,KR7003460003,유화증권(주)
A003470,유안타증권,KR7003470002,유안타증권(주)
A003480,한진중공업홀딩스,KR7003480001,(주)한진중공업홀딩스
A003490,대한항공,KR7003490000,(주)대한항공
A003520,영진약품,KR7003520004,영진약품(주)
A003530,한화투자증권,KR7003530003,한화투자증권(주)
A003540,대신증권,KR7003540002,대신증권(주)
A003550,LG,KR7003550001,(주)LG
A003560,IHQ,KR7003560000,(주)아이에이치큐
A003570,SNT다이내믹스,KR7003570009,SNT다이내믹스(주)
A003580,HLB글로벌,KR7003580008,에이치엘비글로벌(주)
A003610,방림,KR7003610003,(주)방림
A003620,KG모빌리티,KR7003620002,케이지모빌리티(주)
A003650,미창석유,KR7003650009,미창석유공업(주)
A003670,포스코퓨처엠,KR7003670007,(주)포스코퓨처엠
A003680,한성기업,KR7003680006,한성기업(주)
